abbyy,5fae06029bbe793553b81c6aca054249	ABBYY	ABBYY_Software
ace-dental-software,5fae06029bbe793553b81c6aca123762	ACE Dental Software	ACEDentalSw
act-conferencing,5fae06029bbe793553b81c6aca1680d7	ACT Conferencing	actconferencing
american-cosmetology-board,5fae06029bbe793553b81c6aca684077	American Cosmetology Board	AmerCosmetology
aolijie-sanitary-ware-co-ltd,'5fae06029bbe793553b81c6aca7c6ed1	AOLIJIE SANITARY WARE CO.,LTD	david'
artnet,5fae06029bbe793553b81c6acaa09a46	artnet	artnetdotcom
artsystems,5fae06029bbe793553b81c6acaa134a4	Artsystems	artsystemspro
asa-computers,5fae06029bbe793553b81c6acaa267bc	ASA Computers	ASA_Servers
backbone-consulting,5fae06029bbe793553b81c6acad3f428	Backbone Consulting 	backbone4media
benetech-beneficient-technology,5fae06029bbe793553b81c6acaf0d9b7	Benetech (Beneficient Technology)	JRandomF
berkeley-analytical-associates,5fae06029bbe793553b81c6acaf284b8	Berkeley Analytical Associates	voctesting
bgv-pharma,5fae06029bbe793553b81c6acafb30c3	BGV Pharma	aekermanhunt
bizagi,fb79c1faa23e6537889b8b58ca116221	BizAgi	bizagi
blackdog-advertising,fb79c1faa23e6537889b8b58ca16f563	BlackDog Advertising	blackdogad
blue-planet-marketing,fb79c1faa23e6537889b8b58ca240801	Blue Planet Marketing	blueplanetmktg
canada-credit-fix-inc,fb79c1faa23e6537889b8b58ca779162	Canada Credit Fix Inc	creditfix67
car-truck-trader,fb79c1faa23e6537889b8b58ca7ee9ff	Car & Truck Trader	ctt_cars
cgi-interactive,fb79c1faa23e6537889b8b58caa1bf24	CGI Interactive	cgiinteractive
cryo-cell-international,c61e6a5dd61ef3ac28d02c864e360f82	Cryo-Cell International	CryoCell
davis-investigations,c61e6a5dd61ef3ac28d02c864e5a90d4	Davis Investigations	davisinv
davis-investigations,c61e6a5dd61ef3ac28d02c864ece07cf	Davis Investigations	davisinv
fusebox,bb00443be334273f59d3ef19d116589a	Fusebox	fusebox
futurepredictions-com-llc,bb00443be334273f59d3ef19d118f985	futurepredictions.com	futurepredict
garmin,bb00443be334273f59d3ef19d127b6f2	Garmin	JakesJournal
gilbane-group,bb00443be334273f59d3ef19d144e693	Gilbane Group 	gilbane
graycon-group,bb00443be334273f59d3ef19d1711123	Graycon Group	graycon
hrsg-human-resource-systems-group,bb00443be334273f59d3ef19d1ccf3cd	HRSG - Human Resource Systems Group	HRSystemsGroup
hunter-public-relations,bb00443be334273f59d3ef19d1d4fac8	Hunter Public Relations	hunterpr
indusa-technical-corp,597e595b22c7371d2769eb1fa00ff793	Indusa Technical Corp.	IndusaITSol
integraphix-design,597e595b22c7371d2769eb1fa0306f8d	Integraphix Design	Integraphix
interscope-records,597e595b22c7371d2769eb1fa03fc938	Interscope Records	interscope
iqms,597e595b22c7371d2769eb1fa053843e	IQMS	iqmserp
j-n-mason-agency-inc,597e595b22c7371d2769eb1fa0692daa	J. N. Mason Agency Inc.	JNMasonAgency
jobspring-partners,597e595b22c7371d2769eb1fa07cbbb0	Jobspring Partners	jobspringtweets
lifetime-studios,597e595b22c7371d2769eb1fa0ea8635	Lifetime Studios	LSJ2030
mediabeacon,83097a0e1641e8eda5b5ac717e585ca4	MediaBeacon	MediaBeacon
microstrategy,83097a0e1641e8eda5b5ac717e7c9569	MicroStrategy	microstrategy
mindfire-solutions,83097a0e1641e8eda5b5ac717e853d80	Mindfire Solutions	mindfires
moviefone,83097a0e1641e8eda5b5ac717ebac799	MovieFone	moviefone
pivotal-labs,e054627bc6b1f1d8cb812cce42d3f57a	Pivotal Labs	pivotallabs
plan-your-future-now-llc,e054627bc6b1f1d8cb812cce42d9139f	Plan Your Future Now LLC	pyfn
points-of-light-institute,e054627bc6b1f1d8cb812cce42eb4913	Points of Light Institute	HandsOnNetwork
sacunas-integrated-communications,5885c8f942b2d53de0f9ff90e1aff40d	Sacunas Integrated Communications	davebarbush
salmon,5885c8f942b2d53de0f9ff90e1b7cf31	Salmon	chrishoskin
sarah-ashley,5885c8f942b2d53de0f9ff90e1bfbf62	Sarah Ashley	sarahashleysw16
sciencesoft,5885c8f942b2d53de0f9ff90e1cc9d8b	ScienceSoft	ScienceSoft
selldelhi-travels,5885c8f942b2d53de0f9ff90e1e2bf63	SELLDELHI TRAVELS	badebhaiya
skillsoft,08ea75d0b39da8eeca1e9129c728a10c	SkillSoft	SkillSoft
software-association-of-oregon,08ea75d0b39da8eeca1e9129c755630f	Software Association of Oregon	saopdx
supercircuits,4b9962595d7ff850d591b39c002eecdc	Dynaspy	dyn2321
supercircuits,c61e6a5dd61ef3ac28d02c864eba7186	Dynaspy	dyn2321
symsoft,08ea75d0b39da8eeca1e9129c7c9502d	Symsoft	SymsoftAB
the-howard-sloan-koller-group,907373444553d8ee3bfe8778cd185ab7	The Howard Sloan Koller Group	HSKSearch
tribu-ddb,907373444553d8ee3bfe8778cd72cda2	Tribu DDB	tribuddb
trupoint-partners,907373444553d8ee3bfe8778cd7f2809	TruPoint Partners	TruPointPartner
trutap,907373444553d8ee3bfe8778cd80b4c2	Trutap	huseyinbozan
unitrends-software,907373444553d8ee3bfe8778cdac627d	Unitrends Software	Unitrends_Inc
urban-impact-recycling-ltd,907373444553d8ee3bfe8778cdb7c794	Urban Impact Recycling Ltd. 	UIReycling
windlogics,40effe5288e80a75577c6fc0584732f2	WindLogics	WindLogics
workbridge-associates,40effe5288e80a75577c6fc05857b314	Workbridge Associates	workbridge_jobs
worldaccent-translation,40effe5288e80a75577c6fc0585bc32d	WorldAccent Translation	WA_translation
zco-corporation,40effe5288e80a75577c6fc058963631	Zco Corporation	zcocorporation
zedge,40effe5288e80a75577c6fc05897781b	Zedge	Zedge
zyxel,40effe5288e80a75577c6fc058af6ae9	ZyXEL 	zyxelindia
