acme,5fae06029bbe793553b81c6aca142b95	ACME 	ACME_right_now
ais-network,5fae06029bbe793553b81c6aca48bc66	AIS Network	AIS_Network
allen-interactions,5fae06029bbe793553b81c6aca5653df	Allen Interactions	customelearning
ana-data-consulting-inc,'5fae06029bbe793553b81c6aca6f66b9	Ana-Data Consulting, Inc.	clearanalytics'
analog-productions,5fae06029bbe793553b81c6aca7027e2	Analog Productions	filmserv
anastasia,5fae06029bbe793553b81c6aca71220f	Anastasia	Anastasia
aptare-2,5fae06029bbe793553b81c6aca8fe138	APTARE	APTARE
arrayit,5fae06029bbe793553b81c6aca9be98c	Arrayit	arrayit
assurx,5fae06029bbe793553b81c6acaab0e10	AssurX	ASSURX
atlantic-global,5fae06029bbe793553b81c6acab1697a	Atlantic Global	atlanticglobal
avantica-technologies,5fae06029bbe793553b81c6acac3bc7b	Avantica Technologies	avantica
binarytree,fb79c1faa23e6537889b8b58ca05afd8	Binary Tree	BinaryTreeInc
bouncity,fb79c1faa23e6537889b8b58ca3a6ff6	Bouncity	MrsNadhirah
brit-systems-inc,'fb79c1faa23e6537889b8b58ca4c1cc5	BRIT Systems, Inc	BRITSystemsInc'
buddhan,fb79c1faa23e6537889b8b58ca54716b	Buddhan	buddhan
caba-innovatives-multimedia-pvt-ltd,fb79c1faa23e6537889b8b58ca6a933a	Caba Innovatives Multimedia Pvt Ltd	bparashar
catalog-on-demand-3,fb79c1faa23e6537889b8b58ca8e5286	Catalog-on-Demand	catalogondemand
check-point,fb79c1faa23e6537889b8b58caaa6ef3	Check Point Software Technologies	checkpointsw
conceptdraw,fb79c1faa23e6537889b8b58caff2790	ConceptDraw	CSO_ConceptDraw
concur-technologies,c61e6a5dd61ef3ac28d02c864e0040a9	Concur Technologies	ConcurInc
csodesa,c61e6a5dd61ef3ac28d02c864e36f7dc	CS Odessa	ConceptDraw
csodessa,c61e6a5dd61ef3ac28d02c864e37ac1e	CSOdessa	ConceptDraw
cybernomics,c61e6a5dd61ef3ac28d02c864e4373b1	Cybernomics	cybernomics
delhitoagra,c61e6a5dd61ef3ac28d02c864e6a133a	Delhitoagra	delhitoagra
delhitoagra,c61e6a5dd61ef3ac28d02c864edd6d39	Delhitoagra	delhitoagra
designhotels-com,c61e6a5dd61ef3ac28d02c864e73ad76	DesignHotels.com	design_hotels
designhotels-com,c61e6a5dd61ef3ac28d02c864ee61644	DesignHotels.com	design_hotels
ebridge-software-inc,4b9962595d7ff850d591b39c003e4405	eBridge Connections	ebridgeconnects
elcomplus,4b9962595d7ff850d591b39c0056b904	Elcomplus	smartptt
embarcadero-technologies,4b9962595d7ff850d591b39c0060dfbd	Embarcadero Technologies	EmbarcaderoTech
espacemax,4b9962595d7ff850d591b39c0087e72d	EspaceMax 	espacemax
first-scribe-inc,4b9962595d7ff850d591b39c00d773c4	First Scribe Inc.	firstscribe
fundtech,bb00443be334273f59d3ef19d1144fa7	Fundtech	Fundtech
gds-international,bb00443be334273f59d3ef19d12c1841	GDS International	GDS_INTNL
geeknet,bb00443be334273f59d3ef19d12e730b	Geeknet	geeknet_inc
geovue,bb00443be334273f59d3ef19d139d4ec	geovue	geoVue
good-dog-design,bb00443be334273f59d3ef19d160829b	Good Dog Design	gooddog
grandcare,bb00443be334273f59d3ef19d16e3936	GrandCare Systems	grandcare
graphos,bb00443be334273f59d3ef19d16fdccc	GRAPHOS	graphoscanada
guidance-solutions,bb00443be334273f59d3ef19d18828fb	Guidance Solutions	guidance
house-on-the-hill-software,bb00443be334273f59d3ef19d1c94d55	House-on-the-Hill Software	HothSoftware
idtheftsecurity-com,bb00443be334273f59d3ef19d1f0c619	IDTheftSecurity.com	robertsiciliano
interworking-labs,597e595b22c7371d2769eb1fa0413c9c	InterWorking Labs	interworkinglab
invotech-systems,597e595b22c7371d2769eb1fa04a97b4	InvoTech Systems	invotechsystems
iscopia-software,597e595b22c7371d2769eb1fa057bca1	Iscopia Software	iscopia
jobstream-group,597e595b22c7371d2769eb1fa07cd82e	Jobstream Group	JobstreamGroup
klaushofer,597e595b22c7371d2769eb1fa0ad2d7b	Klaushofer	klaushofer
life-line-screening-2,597e595b22c7371d2769eb1fa0e7d3c8	Life Line Screening	life_line
little-gems-learning-systems,597e595b22c7371d2769eb1fa0faba27	Little Gems Learning Systems	RevathiSankaran
livego,597e595b22c7371d2769eb1fa0fe1840	LiveGO	livegocom
logicworks,83097a0e1641e8eda5b5ac717e0b3cca	Logicworks	logicworks
mainsoft,bb00443be334273f59d3ef19d19798ee	harmon.ie	teamharmonie
marathon-technologies,83097a0e1641e8eda5b5ac717e3a067a	Marathon Technologies	MarathonTech
microvision,83097a0e1641e8eda5b5ac717e7d0134	MicroVision	Microvision
microworld-technologies-inc,83097a0e1641e8eda5b5ac717e7d3b64	MicroWorld Technologies Inc	eScan_tweet
mrqe-com-the-movie-review-query-engine,'83097a0e1641e8eda5b5ac717ec0b5f3	MRQE.com, The Movie Review Query Engine	MRQE'
mystaffingpro-by-hr-services,83097a0e1641e8eda5b5ac717edf7145	myStaffingPro by HR Services	mystaffingpro
nastel,83097a0e1641e8eda5b5ac717eec6f92	Nastel Technologies	Nastel
neilsoft,83097a0e1641e8eda5b5ac717ef85f54	Neilsoft	neilsoft
onesource-information-services,e054627bc6b1f1d8cb812cce425cd207	OneSource Information Services	onesourceinfo
organic,e054627bc6b1f1d8cb812cce4278f4d7	Organic	organicinc
overit,e054627bc6b1f1d8cb812cce4283f674	Overit	overit
overit-media,e054627bc6b1f1d8cb812cce4283ff00	Overit Media	overit
photo-sails,e054627bc6b1f1d8cb812cce42c31710	Photo Sails	PhotoSails
planet-x-cafe,e054627bc6b1f1d8cb812cce42da0788	Planet X Cafe	PlanetXCafe
pronexus,5885c8f942b2d53de0f9ff90e118b194	Pronexus	VBVoice
qliktech,5885c8f942b2d53de0f9ff90e13183a4	QlikTech	qlikview
