fd88e8bbf5039fed7ffc7da33d046996,'AdStack, Inc.',You may be pleasantly surprised to read our latest blog post @CafePress @Bronto @jetsetterdotcom @PaperG @litmusapp http://t.co/rBkFjBJd
fd88e8bbf5039fed7ffc7da33d046996,Andrew Holloway,RT @Bronto: Bronto Alumni striking out on their own via @newsobserver http://t.co/ReRPFcgM
fd88e8bbf5039fed7ffc7da33d046996,Atlantic Creative,RT @Bronto: Have you downloaded #marketing holiday resources yet? Still available on http://t.co/Xrb6XsGo http://t.co/tUZSqcnL
fd88e8bbf5039fed7ffc7da33d046996,bendefoe,http://t.co/jjEqXVyQ @deltaapparel @Bronto
fd88e8bbf5039fed7ffc7da33d046996,Blair Graham,'Great article highlighting how #Durham''s @Bronto has spun out 6 #startups, including @argylesocial &amp; @windsorcircle http://t.co/11oicn3l'
fd88e8bbf5039fed7ffc7da33d046996,Brian Bowman,RT @Bronto: Register now for "9 Tips for a Successful Holiday Season" [Webinar] http://t.co/clADkfs7 #ecommerce #marketing
fd88e8bbf5039fed7ffc7da33d046996,Brian Bowman,Tracking mention RT @Bronto: NEW Bronto Blog post: Tips for using #social to test #emailmarketing [Blog Post] http://t.co/W3X7yNE1
fd88e8bbf5039fed7ffc7da33d047255,Brian Bowman,MT @Bronto: Account Executive position at Bronto: http://t.co/pNbqt4eG #hiring #SaaS #sales
fd88e8bbf5039fed7ffc7da33d046996,Bronto Europe,20th September Webinar "9 Tips for a Successful Holiday Season" Hosted by @etail sponsored by @Bronto http://t.co/n431LsuX
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,Interested in leading a global team of #sales professional? New position @Bronto: http://t.co/q9PDF0YH
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,NEW Bronto Community post on Data-Driven Marketing w/ the @Bronto API: http://t.co/ktnLr0n1
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,'RT @BlairGraham: Great article highlighting how #Durham''s @Bronto has spun out 6 #startups, including @argylesocial &amp; @windsorcircle ...'
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @ChrisatPegasus It is dinosaur week @ daycare. So @bronto is our show and tell http://t.co/C3IWmdGT (Nice! Love the @DurhamBulls hat!)
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @Kestrelbird: Thanks @Bronto team for the b.day gifts! http://t.co/0EANYQuP
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @TessPerez: I thought that said Magneto offices! How cool would that be? RT @Bronto: Hanging out at the Magento offices [PIC] http:// ...
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,'RT @TheParkCatalog: @Bronto has the best support team when their clients need help. (Terrific, glad to hear it! Thanks for sharing)'
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @TriangleEW: At least 6 local startups have been founded or co-founded by alumni of @bronto including @windsorcircle @argylesocial    ...
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @WhatsGregDoing: Enjoying the Durham Bulls game compliments of @Bronto - thanks! http://t.co/UsWQOe1W
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,'RT @erikaroe: Read a sweet inspiring story about @Bronto alumni in today''s @newsobserver http://t.co/PQ2fiD58 (Thanks, great story!)'
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @etailinsights: Thanks to our friends at @newsobserver for the article on recent @Bronto employees and our company! http://t.co/ZLEGs ...
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @jhertzberg: A big shout out to @KellieBoggs and @mysizelindsey1 for the @bronto love. (Great to hear! Thanks for sharing John!)
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,RT @marykapowers: It amazes me how many marketers are still ignoring the preheaders! (The second subject line!) @Bronto http://t.co/31xcbjQM
fd88e8bbf5039fed7ffc7da33d046996,Bronto Software,Read about our recent tournament @Bronto. Winning prize? Custom cornhole boards! http://t.co/sAnrVuiS
fd88e8bbf5039fed7ffc7da33d047255,Bronto Software,'RT @marykapowers: Hey @Bronto - Thanks for the Beer! @TriangleRefresh (You''re welcome, glad to host!)'
fd88e8bbf5039fed7ffc7da33d047255,BrontoCaroline,RT @KarlSakas: Tonight at 6:30 at @Bronto in Durham: Learn about #Typography @elnatnal at @TriangleRefresh: http://t.co/BFLfvyR4
