"company","tweet_volume","value_score_100","use_score_100","simple_score_100","extreme_score_100","uses_score","choices_score","values_score","revenue"
"awscloud",495,8.69,2.02,0.81,75,0.01,0.02,0.05,600
"ibmcloud",631,5.71,0.16,0,46,0,0.04,0.02,500
"netsuite",1073,4.85,0.28,-0.56,33,0.01,-0.01,-0.01,200
"rackspace",1308,4.82,-0.38,-0.61,66,0,0,-0.03,189
"joyent",606,4.29,-0.17,-0.99,78,0.01,0.01,0.02,15
"heroku",1024,2.64,-0.39,1.46,75,0.01,0.01,0.02,45
"sap",853,2.11,0.12,0.12,10,0.01,-0.03,0.02,85
"salesforce",1358,1.55,0.44,-0.29,73,0.02,0.01,0.01,1300
"windowsazure",312,1.28,5.45,-0.32,87,0.01,-0.01,0.01,30
"cloudera",360,0.56,0.56,-0.83,100,0.01,0.03,0,18
"appfog",184,0.54,0.54,0.54,78,0,0.01,0.02,1.4
