.decimal,554e7e9189e04bb925684d404f8d0039,2009,$11.8 million
(Add)ventures,554e7e9189e04bb925684d404f8d0039,2009,$5.5 million
101 Financial,554e7e9189e04bb925684d404f8d0039,2009,$3.2 million
2020 Company,554e7e9189e04bb925684d404f8d0039,2009,$37.6 million
21st Century Biochemicals,554e7e9189e04bb925684d404f8d0039,2009,$2.7 million
22nd Century Technologies,554e7e9189e04bb925684d404f8d0039,2009,$14.3 million
2daysBATH,554e7e9189e04bb925684d404f8d0039,2009,$3.8 million
2Is,554e7e9189e04bb925684d404f8d0039,2009,$5.3 million
4th Source,554e7e9189e04bb925684d404f8d0039,2009,$9.3 million
5Linx Enterprises,554e7e9189e04bb925684d404f8d0039,2009,$45.7 million
6K Systems,554e7e9189e04bb925684d404f8d0039,2009,$7.5 million
80sTees.com,554e7e9189e04bb925684d404f8d0039,2009,$10.6 million
90octane,554e7e9189e04bb925684d404f8d0039,2009,$2.6 million
944 Media,554e7e9189e04bb925684d404f8d0039,2009,$13.4 million
A & D Home Health Solutions,554e7e9189e04bb925684d404f8d0039,2009,$2.7 million
A & I Travel Service,554e7e9189e04bb925684d404f8d0039,2009,$3.2 million
A Place for Mom,554e7e9189e04bb925684d404f8d0039,2009,$25.6 million
A-T Solutions,554e7e9189e04bb925684d404f8d0039,2009,$54.4 million
A+ Mortgage Services,554e7e9189e04bb925684d404f8d0039,2009,$219.3 million
A2Z,554e7e9189e04bb925684d404f8d0039,2009,$3.5 million
Aaron Oil Company,554e7e9189e04bb925684d404f8d0039,2009,$38.3 million
'Aaron''s Sales & Lease Ownership (Iowa)',554e7e9189e04bb925684d404f8d0039,2009,$7.7 million
Aasent Mortgage Corporation,554e7e9189e04bb925684d404f8d0039,2009,$2.6 million
AB Star Group,554e7e9189e04bb925684d404f8d0039,2009,$4.6 million
Abacus 24-7,554e7e9189e04bb925684d404f8d0039,2009,$8.4 million
Abacus America,554e7e9189e04bb925684d404f8d0039,2009,$29.7 million
ABC Supply,554e7e9189e04bb925684d404f8d0039,2009,$2.9 million
Abdon Callais Offshore,554e7e9189e04bb925684d404f8d0039,2009,$108.4 million
ABi,554e7e9189e04bb925684d404f8d0039,2009,$18.3 million
Able Information Technologies,554e7e9189e04bb925684d404f8d0039,2009,$18.9 million
About Time Technologies,554e7e9189e04bb925684d404f8d0039,2009,$3.2 million
About Time Technologies,554e7e9189e04bb925684d404f8d0039,2009,$3.2 million
Absolute Concrete Construction,554e7e9189e04bb925684d404f8d0039,2009,$11.3 million
Absolutely Outdoors,554e7e9189e04bb925684d404f8d0039,2009,$4.6 million
Academix Direct,554e7e9189e04bb925684d404f8d0039,2009,$7.6 million
Acadian Companies,554e7e9189e04bb925684d404f8d0039,2009,$273.7 million
Accelera Solutions,554e7e9189e04bb925684d404f8d0039,2009,$18.9 million
Accent Marketing Services,554e7e9189e04bb925684d404f8d0039,2009,$132.2 million
Access America Transport,554e7e9189e04bb925684d404f8d0039,2009,$46.6 million
Access Event Network,554e7e9189e04bb925684d404f8d0039,2009,$3.4 million
Access Insurance Holdings,554e7e9189e04bb925684d404f8d0039,2009,$222.7 million
Access Technology Solutions,554e7e9189e04bb925684d404f8d0039,2009,$20.2 million
Access Technology Solutions,554e7e9189e04bb925684d404f8d0039,2009,$20.2 million
Accounting Management Solutions,554e7e9189e04bb925684d404f8d0039,2009,$15.9 million
AccruePartners,554e7e9189e04bb925684d404f8d0039,2009,$5.2 million
Accuvant,554e7e9189e04bb925684d404f8d0039,2009,$142.5 million
Achatz Handmade Pie,554e7e9189e04bb925684d404f8d0039,2009,$4.6 million
Achieve3000,554e7e9189e04bb925684d404f8d0039,2009,$19.6 million
