8dd24204eb8c052dd3a8ce70ad301fd3,~LeoAugust10thLady~,I love my @Square Card reader!!!
8dd24204eb8c052dd3a8ce70ad301fd3,808Nismo,@Veronica @square Hope you enjoy the  Island. #aloha
099c3c1046cc7dd0443f6dd1e4db5f84,Aaron Dias-Melim,'RT @FastCompany: .@Square lowers its transaction fee to 0%. We''re talking with @Jack Dorsey to learn more. Stay tuned! http://t.co/SJSsmTB4'
099c3c1046cc7dd0443f6dd1e4db5f84,Aaron Dias-Melim,RT @Square: Square is leveling the field for small businesses with new revolutionary pricing. Introducing one monthly price: https://t.co/bBnkBjWy
8dd24204eb8c052dd3a8ce70ad301a84,Aaron Dias-Melim,RT @Square: The @RenegadeCraft Fair is finishing up their West Coast leg this weekend in Los Angeles. Join hundreds of Square merchants at @LASHP.
8dd24204eb8c052dd3a8ce70ad301a84,Aaron Dias-Melim,'RT @vslavich: "The secret of getting ahead is getting started," Sally Berger. #WomenAtSquare Kick-off Meeting @Square. http://t.co/MzYWotvt'
099c3c1046cc7dd0443f6dd1e4db4af6,Aaron J L Kelly,'@fabianmu @readmill @square @instagram @gidsynews maybe, behind closed doors, Donald Trump runs them all.'
099c3c1046cc7dd0443f6dd1e4db5f84,Aaron Lammer,'Man, @square is going for the jugular http://t.co/4iw0j3rs . That said, credit card companies have had decades to do better. (via @chafkin)'
8dd24204eb8c052dd3a8ce70ad2fff84,Aaron M. Garner,At the @DizzyFeetTweet  for @Square
099c3c1046cc7dd0443f6dd1e4db5f84,ABDULLAH ANWAR,RT @Square: Square is leveling the field for small businesses with new revolutionary pricing. Introducing one monthly price: https://t.co/bBnkBjWy
8dd24204eb8c052dd3a8ce70ad301a84,Accel Partners,'Accel''s @ryanjsweeney thinks @Braintree, @Qualtrics, @Uber &amp; @Square are among the hottest enterprise startups http://t.co/pR6a0r22'
099c3c1046cc7dd0443f6dd1e4db4393,Adam Andersen,'RT @FastCompany: Jack Dorsey''s @Square deal for small businesses: 0% transaction fee http://t.co/ByNtU0Ah'
8dd24204eb8c052dd3a8ce70ad301fd3,Adam Jackson,'It''s really funny to hear normal people talk about @Square.'
8dd24204eb8c052dd3a8ce70ad300b59,Adam L Stanley,'RT @JonahLupton: @MJRod2142 @twitter @Square @jack - Apple has $118 billion in cash, why make an investment? just buy the whole company!!!'
8dd24204eb8c052dd3a8ce70ad301a84,adam miguel,'Bummed I didn''t get a chance to say hi to @elizadushku during her @Square visit. We did make eye contact though, just not at each other. :-/'
8dd24204eb8c052dd3a8ce70ad300b59,Adam Miguel,RT @vslavich: 48 classy and fabulous ladies of @Square #WomenAtSquare http://t.co/Tfcb5YyP
8dd24204eb8c052dd3a8ce70ad301fd3,Adam Miguel,RT @StudiomixSF: Looking forward to bringing yoga to @Square today! wooo! I mean ahhh... http://t.co/bfy1SWOs
8dd24204eb8c052dd3a8ce70ad300b59,AgLocal,@ShareBuds thank you! @WarbyParker @pencilyouin @Square @foodrun @simpletv @NewMEAccel @Sonos @Bonobos @BeCouply @kickstarter @PictureMenu
8dd24204eb8c052dd3a8ce70ad300b59,agustinm20,'Un puestito callejero que acepta @square, que lejos que estamos de esto, no? http://t.co/qly1GsnF'
099c3c1046cc7dd0443f6dd1e4db6d03,Ahmad sarjono,RT @Square: Square is leveling the field for small businesses with new revolutionary pricing. Introducing one monthly price: https://t.co/bBnkBjWy
099c3c1046cc7dd0443f6dd1e4db6d03,Ahmed Eid,RT @Square: Square is leveling the field for small businesses with new revolutionary pricing. Introducing one monthly price: https://t.co/bBnkBjWy
099c3c1046cc7dd0443f6dd1e4db4393,Aileen Abella,'RT @FastCompany: Jack Dorsey''s @Square deal for small businesses: 0% transaction fee http://t.co/ByNtU0Ah'
8dd24204eb8c052dd3a8ce70ad301a84,AJ Fus,'RT @PhysioWorksInc: We proudly now are accepting payments via @square 

cc: @jack http://t.co/QRG4BcSM'
8dd24204eb8c052dd3a8ce70ad301a84,AJ Weinberg,'Cause tacos RT @levnaginsky: Forgot my wallet at home this morning. Explain to me again why most businesses don''t accept @Square yet?'
099c3c1046cc7dd0443f6dd1e4db5945,Akeya,'RT @aaronlammer: Man, @square is going for the jugular http://t.co/4iw0j3rs . That said, credit card companies have had decades to do better. (via @chafkin)'
8dd24204eb8c052dd3a8ce70ad3027c5,Alan Christensen,Watchin a food cart use @Square @PayWithSquare !!  Very Nice!!
099c3c1046cc7dd0443f6dd1e4dc092a,Alberto Adobati,'Great move @jack, when in Italy? @Square Debuts Monthly Pricing Option 4 Small Businesses W/ 0 Swiping Fees http://t.co/Te6XzhCK'
8dd24204eb8c052dd3a8ce70ad301fd3,Alex C,I had a really fun time at @Square today! Loved that they put so much importance on design and they care about the little details.
099c3c1046cc7dd0443f6dd1e4db5945,Alex Olshonsky,RT @kolovson: It used to be that Small Businesses always paid higher fees than Big Businesses.  Today @Square changed that. https://t.co/CqLohkAr
099c3c1046cc7dd0443f6dd1e4db6d03,Alex Pholius,'RT @CounterfeitGent: @wintertime88 @Square Not if you speak to anyone in my industry. The card brands'' security council hasn''t come up with best practices...'
099c3c1046cc7dd0443f6dd1e4db4393,Alex Taylorson,@Square Does this work in the UK at all?
8dd24204eb8c052dd3a8ce70ad301fd3,Alexander Lopez,@danielgatsby @square WOAH. Awesome man.
099c3c1046cc7dd0443f6dd1e4db5f84,Alexia Tsotsis,'.@jordanekay @square That''s what @Venmo did.'
8dd24204eb8c052dd3a8ce70ad3027c5,Ali Jabini,RT @ZeeJab: LOVE @Square transactions in the morning. #yes #getpaid
099c3c1046cc7dd0443f6dd1e4db4393,Alison Law,'RT @fastcompany: Jack Dorsey''s @Square deal for small businesses: 0% transaction fee http://t.co/4CNL1Mlt'
099c3c1046cc7dd0443f6dd1e4db4393,AllBusiness.com,'RT @FastCompany: Jack Dorsey''s @Square deal for small businesses: 0% transaction fee http://t.co/ByNtU0Ah'
099c3c1046cc7dd0443f6dd1e4db4af6,Allen Cheung,@Steckel @Square It took you a month?
8dd24204eb8c052dd3a8ce70ad301a84,Allen Cheung,Tea at @square just got more awesome. http://t.co/LL9tTx9E
8dd24204eb8c052dd3a8ce70ad3027c5,Allen Cheung,RT @joypak: Happy hour with the @square team. http://t.co/nAKOzNTY
099c3c1046cc7dd0443f6dd1e4db5945,alliewg6,'Paid a 1 person biz with @square today and she was raving about the product...wait until she sees today''s announcement'
8dd24204eb8c052dd3a8ce70ad301fd3,Alper Aydinoglu,@Veronica @Square That is awesome!
8dd24204eb8c052dd3a8ce70ad2fff84,Amanda Buzard,'Just chatted with an excited vendor at a farmers market about @Square, felt a little bit like @opazazzyzen :)'
099c3c1046cc7dd0443f6dd1e4db5945,Ana Ivelisse,@jack I would like to have @square in Puerto Rico.
099c3c1046cc7dd0443f6dd1e4db5945,ana kakkar,RT @kolovson: It used to be that Small Businesses always paid higher fees than Big Businesses.  Today @Square changed that. https://t.co/CqLohkAr
099c3c1046cc7dd0443f6dd1e4db5945,Ana Milicevic,Awesome move by @square who now also offer a $275 flat monthly processing fee. More details via @mashable http://t.co/R0G7TnpN
099c3c1046cc7dd0443f6dd1e4db4393,andreaholland,'RT @FastCompany: Jack Dorsey''s @Square deal for small businesses: 0% transaction fee http://t.co/ByNtU0Ah'
099c3c1046cc7dd0443f6dd1e4db5945,Andrew Deniszczyc,'I wonder how many @Square card readers that have been shipped out actually get used at all, say on a weekly basis?'
099c3c1046cc7dd0443f6dd1e4db4af6,Andrew Machado,When it comes to executing your competition to death @square is holding the shotgun. http://t.co/9patomr8
8dd24204eb8c052dd3a8ce70ad301fd3,Andrew Possehl,I would love to see @Square and @Simplify team up and do something awesome together.
099c3c1046cc7dd0443f6dd1e4db5945,Andrew Row,Could you imagine how happy @jack would be if the Golden Gate bridge took @Square for toll payments?
099c3c1046cc7dd0443f6dd1e4db6d03,andrewsd6,'Paid a 1 person biz with @square today and she was raving about the product...wait until she sees today''s announcement'
8dd24204eb8c052dd3a8ce70ad300b59,Andy Burns,'@LutherHaus well, @square does email/text receipts. I get them from @harrietbrewing when I buy :)'
099c3c1046cc7dd0443f6dd1e4db4af6,Andy Rosenberg,'Found the man in charge of @Square''s BD and his strategy. That team is killing it, indeed. http://t.co/uaAktnua'
8dd24204eb8c052dd3a8ce70ad301fd3,Angiie :*,@Square one (:
8dd24204eb8c052dd3a8ce70ad300b59,Anita,'Loving my @square cash register at today''s craft show !!   @paywithsquare SO awesome for my small business. :)'
8dd24204eb8c052dd3a8ce70ad300b59,Anita,'Mom says "well, I don''t have much money with me."   7 year old says, "that''s ok mom, this one takes credit cards." @square #squarelove'
8dd24204eb8c052dd3a8ce70ad2fff84,Anne Marie Howard,@square I want to open 2 accounts (business &amp; personal) but iTunes will only let me download the app once.
8dd24204eb8c052dd3a8ce70ad2fff84,Anneliese Niebauer,'RT @Square: Ice cream, anyone? Beat the heat at one of these Square merchants: https://t.co/7pY1mnZR'
8dd24204eb8c052dd3a8ce70ad300b59,Anthemis Group,RT @howardlindzon: I love that CEO of $VOD is calling @square a zero http://t.co/PhisNsWd  - wars are good for consumers like me.  cc @rabois
8dd24204eb8c052dd3a8ce70ad301a84,Anthemis Group,RT @madFu: pretty decent interview btw @pymnts &amp; will wang graylin of @roamdata - much insight on @square &amp; #fraud - http://t.co/hlY1JDCO - #mpayments
