554e7e9189e04bb925684d404fb97265,Adam Spurr,'RT @Vocalocity: Manage your small business operations remotely? Yeah, our app can do that. @androidcentral @appstore http://t.co/onsGImLP'
554e7e9189e04bb925684d404fb97265,Danny Do Couto,'RT @Vocalocity: @methodCRM now integrates with your phone system, save time, gain productivity http://t.co/iWSiPPeN'
fd88e8bbf5039fed7ffc7da33d217079,Dodatdeal Nation,HEY @Vocalocity GET APPROVED NOW AT http://t.co/cTZLvL19
554e7e9189e04bb925684d404fb97265,GetVoIP.com,@Vocalocity Virtual Voicemail Transcription - Video http://t.co/NZw3Lla7
554e7e9189e04bb925684d404fb97265,GetVoIP.com,Toll Free Number Roundup Comparison http://t.co/wZjcGE7n @nextiva @fonality @ringcentral @onsip @vocalocity #voip
fd88e8bbf5039fed7ffc7da33d217079,GetVoIP.com,@Vocalocity @QuickBooks Integration http://t.co/RichM4OU #voip
554e7e9189e04bb925684d404fb97265,Method CRM,'RT @Vocalocity: @methodCRM now integrates with your phone system, save time, gain productivity http://t.co/iWSiPPeN'
554e7e9189e04bb925684d404fb97265,Raymond Harrod,'RT @Vocalocity: Looking for a new phone system? Offering desktop application integration, mobility, scalability &amp; affordability http ...'
554e7e9189e04bb925684d404fb97265,Raymond Harrod,RT @Vocalocity: The Vocalocity Mobile app allows our customers to manage their phone system in real time from the palm of their hands. h ...
554e7e9189e04bb925684d404fb97265,SugarCRM,RT @Vocalocity: Vocalocity Desktop with @SugarCRM integration now available on #Sugarforge. See what users have to say http://t.co/85d8KEzJ
554e7e9189e04bb925684d404fb97265,TESAGE New York,RT @Vocalocity: eCommerce site enters the cloud  &amp; reduced call center costs dramatically http://t.co/wPnjasru #custserv #callcenter ...
fd88e8bbf5039fed7ffc7da33d217079,'The Jason Mudd, APR','@Vocalocity keep it simple. Program shouldn''t require a 1099 and preregister. Just offer account credit instead. #easy'
fd88e8bbf5039fed7ffc7da33d217079,Timothy J. McNeely,'@Vocalocity I was trying to learn about your iOS support...but I don''t trust a company that has a site that does not work on iOS....'
fd88e8bbf5039fed7ffc7da33d217079,Timothy J. McNeely,'@Vocalocity I''m looking forward to it.  Will it work on iOS?'
fd88e8bbf5039fed7ffc7da33d217079,Timothy J. McNeely,@Vocalocity does your service really and fully support iOS and OS X?  Or is it a marketing ploy?
fd88e8bbf5039fed7ffc7da33d217079,Timothy J. McNeely,'@Vocalocity iPhone only?  Not iPad?  Vocalocity Desktop would make a good iPad app.  Tell the devs to get to work and I''ll switch over :)'
fd88e8bbf5039fed7ffc7da33d217079,Timothy J. McNeely,@Vocalocity your best-in-class service is having problems on iOS.  What a #fail.  Makes me doubt your service works. http://t.co/q6DsdCGC
