"Company","Multiple over 50 million"
"Activision",60.5
"Actuate",2.6
"Adobe",71.6
"Advent",5.3
"ANSYS",7.7
"Art Technology",3.3
"Autodesk",43.4
"Blackbaud",6.1
"Blackboard",6.2
"BMC",34.6
"CA",85.5
"Cadence",20.8
"Checkpoint",16.2
"China Digital",1.1
"CIBER",23.8
"Citrix",31.7
"Cognizant",56.3
"CommVault",4.0
"Compuware",24.6
"Concur",4.3
"Deltek",5.8
"DemandTec",1.2
"Digital River",7.9
"DivX",1.7
"Echelon",2.7
"Electronic Arts",73.3
"EPIQ",4.7
"i2",5.1
"Informatica",9.1
"International Game",50.6
"Interwoven",5.2
"Intuit",61.4
"JDA",7.8
"LongTop",1.3
"Macrovision",6.6
"Manhattan Assoc",6.7
"McAfee",32.0
"MedAssets",3.8
"Mentor Graphics",17.6
"MICROS",19.1
"Microsoft",1208.4
"MicroStrategy",7.2
"MSC Software",4.9
"National Instruments",14.8
"Netezza",2.5
"Nice Systems",12.5
"Novell",19.1
"Nuance",17.4
"Omniture",5.9
"Open Text",14.5
"OpenTV",2.3
"OPNET",2.0
"Oracle",448.6
"Parametric",21.4
"Pegasystems",3.2
"Progress",10.3
"Quality Systems",3.7
"Quest",14.7
"Rackspace",10.6
"RealNetworks",12.1
"RedHat",10.5
"Renaissance Learning",2.2
"Retalix",4.4
"Salesforce",15.0
"Sourcefire",1.5
"SPSS",6.1
"SuccessFactors",2.2
"SuperMicro",10.8
"Sybase",22.6
"Symantec",117.5
"Synaptics",7.2
"Synopsys",26.7
"Take-Two",30.8
"TeleCom Systems",4.4
"Teleo",2.6
"Ultimate Software",3.6
"VanceInfo",2.1
"VASCO",2.7
"Verisign",19.2
"Websense",5.9
"Wind River",6.6
"Company",
