Row Labels,Count of Company,,,,
1981,1,,1981,1,1
1983,3,,1983,3,4
1985,2,,1985,2,6
1986,1,,1986,1,7
1987,2,,1987,2,9
1988,4,,1988,4,13
1989,2,,1989,2,15
1990,3,,1990,3,18
1991,3,,1991,3,21
1992,2,,1992,2,23
1994,1,,1994,1,24
1995,1,,1995,1,25
1996,1,,1996,1,26
1997,5,,1997,5,31
1998,5,,1998,5,36
1999,9,,1999,9,45
2000,6,,2000,6,51
2001,4,,2001,4,55
2002,6,,2002,6,61
2003,4,,2003,4,65
2004,5,,2004,5,70
2005,1,,2005,1,71
2006,1,,2006,1,72
2007,2,,2007,2,74
2008,6,,2008,6,80
2009,1,,2009,1,81
Grand Total,81,,,,
,3.115384615,,,,
,,,companies/year,,
,,,,3.11,
,,,Range,,
,,,,82,
,,,Standard Deviation,,
,,,,2.141530725,
,,,Hurst Exponent,,
,,,,,
,,,,0.984842201,
