Id,Label,name,strategy_group,strategy_name,start_year,last_year,starting_funds_millions,b2b_b2c,roles,survival_years,last_year_funds,starting_funds,strategy,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree
103,,utility,,,,,,,,,,,,0.0,0.0,0.0,0,0,0
117,,vpn_users,,,,,,,,,,,,1.0,1.0,0.0,1,0,1
119,,employees,,,,,,,,,,,,0.0,0.0,0.0,0,0,0
99,,hardware_manufacturer,,,,,,,,,,,,89.0,89.0,0.0,89,0,89
100,,software_developer,,,,,,,,,,,,75.0,75.0,0.0,75,0,75
102,,employees,,,,,,,,,,,,89.0,89.0,0.0,89,0,89
105,,support_shop,,,,,,,,,,,,17.0,17.0,0.0,17,0,17
107,,internet_users,,,,,,,,,,,,38.0,38.0,0.0,38,0,38
104,,materials,,,,,,,,,,,,29.0,29.0,0.0,29,0,29
106,,cable_users,,,,,,,,,,,,8.0,8.0,0.0,8,0,8
110,,landline_users,,,,,,,,,,,,26.0,26.0,0.0,26,0,26
111,,dsl_users,,,,,,,,,,,,4.0,4.0,0.0,4,0,4
101,,network,,,,,,,,,,,,21.0,21.0,0.0,21,0,21
108,,wireless_users,,,,,,,,,,,,30.0,30.0,0.0,30,0,30
114,,radio_users,,,,,,,,,,,,3.0,3.0,0.0,3,0,3
109,,voip_users,,,,,,,,,,,,24.0,24.0,0.0,24,0,24
118,,cloud_users,,,,,,,,,,,,1.0,1.0,0.0,1,0,1
116,,datacenter_users,,,,,,,,,,,,2.0,2.0,0.0,2,0,2
112,,satellite_users,,,,,,,,,,,,3.0,3.0,0.0,3,0,3
115,,television_users,,,,,,,,,,,,1.0,1.0,0.0,1,0,1
113,,gps_users,,,,,,,,,,,,1.0,1.0,0.0,1,0,1
60,,ORBCOMM,A,Anomoly,2006,2012,295,B,"hardware_manufacturer, software_developer",6,157,,,5.0,0.0,5.0,0,5,5
79,,Tasman Networks,A,Anomoly,2000,2009,14,B,hardware_manufacturer,9,99,,,4.0,0.0,4.0,0,4,4
95,,Winstar,A,Anomoly,2000,2001,445,C,network,1,0,445,,5.0,0.0,5.0,0,5,5
47,,Iridium Communications,A,Anomoly,2001,2012,6000,C,network,11,592,,,5.0,0.0,5.0,0,5,5
71,,RRSat Global Communications Network,A,Anomoly,2006,2012,241,B,"hardware_manufacturer, software_developer",6,93,,,7.0,0.0,7.0,0,7,7
