"Company","Strategy_Class","StrategyLabel","Start","End","invest_fund"," exit_volume "," gain_total ","Survival_Years","Market_Gain","B2B_B2C","roles","supplier_to","buyer_of",,,,,,,,,,,,,,,,,,
"Aarohi Communications","U","Unknown",2000,2006,11,39,28,6,2.55,"B","hardware_manufacturer, software_developer","network","employees, hardware_manufacturer, materials",,"A","Anomoly",,,,,,,,"Syndeo","VOIP",75,,1999,"FN",,
"Adelphia Communications","ISS","Incumbent Sustaining Strategy",2000,2002,0,1,1,2,39,"C","network","cable_users, internet_users","hardware_manufacturer, employees, software_developer",,"D","Disruptive",,,,,,,,"Ooma","VOIP",60.3,47,2004,"FN","C","Talk"
"Agito Networks","U","Unknown",2006,2010,10,11,1,4,0.14,"B","software_developer","network, hardware_manufacturer, software_developer","hardware_manufacturer, employees, software_developer",,"D, DR","Disruptive, Disruptive Range",,,,,,,,"VOX telecom","VOIP",56,,2003,"FN","B","Route"
"Alaska Communications Systems Group","ISS","Incumbent Sustaining Strategy",2000,2012,82,136,54,12,0.65,"C","network","landline_users, internet_users, wireless_users, support_shop","hardware_manufacturer, employees, software_developer",,"DR","Disruptive Range",,,,,,,,"Voxeo","VOIP",29,,2000,"FN","B","VOIP hardware"
"Alvesta","DR","Disruptive Range",2000,2002,12,5,-7,2,-0.58,"B","hardware_manufacturer ","network","employees, hardware_manufacturer, materials",,"ESS","Entrant Sustaining Strategy",,,,,,,,"Kineto","VOIP",28.5,,2002,"FN","C","Route"
"American Tower Corporation","DR","Disruptive Range",2000,2012,1700,21290,19590,12,11.52,"B","hardware_manufacturer ","network","employees, hardware_manufacturer, materials",,"ISS","Incumbent Sustaining Strategy",,,,,,,,"JAJAH","VOIP",28,,2005,"FN","C","Talk"
"AT&T","ISS, DR","Incumbent Sustaining Strategy, Disruptive Range",2000,2012,66000,177900,111900,12,1.7,"B, C","network","internet_users, wireless_users, voip_users, landline_users, support_shop","hardware_manufacturer, employees, software_developer",,"ISS, DR","Incumbent Sustaining Strategy, Disruptive Range",,,,,,,,"NetDevices","VOIP",25,,2003,"FN","B","Route"
"Atlantic Tele-Network","DR","Disruptive Range",2000,2012,329,609,280,12,0.85,"B, C","network","internet_users, wireless_users,  landline_users","hardware_manufacturer, employees, software_developer",,"SD","Strategic Differentiation",,,,,,,,"IntelePeer","VOIP",21.8,,,"FN","B","Route"
"B Communications","ISS","Incumbent Sustaining Strategy",2000,2012,106,334,228,12,2.15,"C","network","landline_users, internet_users","hardware_manufacturer, employees, software_developer",,"SI","Strategic Innovation",,,,,,,,"jaxtr","VOIP",21.5,,2005,"FN","C","Text"
"BCE","ISS","Incumbent Sustaining Strategy",2002,2012,3290,31090,27800,10,8.45,"B, C","network","landline_users, internet_users, wireless_users, cable_users, radio_users, support_shop","hardware_manufacturer, employees, software_developer",,"U","Unknown",,,,,,,,"Rebtel","VOIP",20,50,2006,"FN","C","Talk"
"BeVocal","DR","Disruptive Range",2000,2007,10,140,130,7,13,"B","software_developer","network","hardware_manufacturer, employees, software_developer",,"ISS, D ","Incumbent Sustaining Strategy, Disruptive",,,,,,,,"Narus","VOIP",20,,,"FN","B","analytics"
"Brasil Telecom","ISS","Incumbent Sustaining Strategy",2000,2012,3673,2530,-1143,12,-0.31,"C","network","landline_users, wireless_users","hardware_manufacturer, employees, software_developer",,,"Categories of commodity from the consumers perspective",,,,,,,,"Google Voice","VOIP",0,,2009,"FN","C","Talk"
"Brilliant Telecommunications","ESS","Entrant Sustaining Strategy",2004,2011,27,6,-21,7,-0.79,"B","hardware_manufacturer, software_developer","network, hardware_manufacturer, software_developer","employees, hardware_manufacturer, materials",,,,"Disruptive(D)-(Google, Toyota, Wal-Mart, Southwest)",,,,,,,"Skype","VOIP",68.8,,2003,"FN","C","Talk"
"Catena Networks","DR","Disruptive Range",2000,2004,75,314,239,4,3.18,"B","hardware_manufacturer","dsl_users, landline_users","employees, hardware_manufacturer, materials",,,,,,,,,,,"FlexLight","VOIP",17,,2000,"FN","B","VOIP hardware"
